latitude,longitude,date,type,location_desc
43.89027618,-78.89583473,01/08/2026,Pothole,847 King St W (EB)
43.90012759,-78.88117565,01/01/2026,Slip and Fall,226 Gibbons St
43.89027618,-78.89583473,01/08/2026,Pothole,847-909 King St W
43.91392598,-78.89675286,01/12/2026,Slip and Fall,865 Barbados St
43.90085124,-78.86139423,01/19/2026,Slip and Fall,99 Mary St N (YMCA) at William St E
43.89546485,-78.87269396,02/01/2026,Slip and Fall,245 King St W
43.892266,-78.843329,01/12/2026,Slip and Fall,Olive Ave (St Hedwig's Catholic School)
43.90311657,-78.84767768,02/22/2026,Pothole,463 Bond St E
43.95138926,-78.84002056,02/28/2026,Slip and Fall,1256 Salmers Dr
43.89321699,-78.88258589,03/07/2026,Pothole,King St W @ Stevenson (Oshawa Centre Entrance)
43.93425325,-78.90084604,02/22/2026,Pothole,1551 Stevenson Rd N (Meldrum)
43.93425325,-78.90084604,02/24/2026,Pothole,1552 Stevenson Rd N (Aboushita)
43.93425325,-78.90084604,02/26/2026,Pothole,1553 Stevenson Rd N (Bassyouni)
43.93425325,-78.90084604,02/27/2026,Pothole,1554 Stevenson Rd N(Babia Young)
